,Unnamed: 0,Name,City,MinSalary,MaxSalary,Company,Date,Expirience,Employment,WorkSchedule,Descriptions,Duties,Requiremenst,Terms,KeySkills,Day_from_pars
537,537,Ресечер,Санкт-Петербург,,,Wrike,2020-11-02T12:25:39+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Job overview:  We are looking for a  Technical Sourcer  who can help us attract the best team of talented individuals to our Wrike team. We're flexible on experience and would love to chat with you if you are interested. ,,,, Talent Acquisition; Sourcing; ATS; Поиск персонала в открытых источниках;,2
538,538,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,NAUMEN,2020-11-02T09:48:09+0300,От 1 года до 3 лет,Полная занятость,Полный день," NAUMEN — российская ИТ-компания. Мы создаем и внедряем решения, которые помогают компаниям приближать цифровое будущее: оптимизировать бизнес-процессы и улучшать клиентские коммуникации и сервис. Более 200 млн пользователей из России, стран Европы и Азии в повседневной жизни пользуются нашими решениями. ",,,, Оценка персонала; Boolean Search; Executive Search; Исследования рынка труда;,2
539,539,Sales manager,Москва,100000.0,152682.0,БУЛАТ,2020-11-02T11:48:13+0300,От 3 до 6 лет,Полная занятость,Полный день," Российская компания ООО БУЛАТ специализируется на производстве телекоммуникационного оборудования (маршрутизаторы и коммутаторы, серверы и системы хранения данных, интернет вещей IOT). ",,"   Опыт в продажах ИТ или телеком оборудования, комплексных решений для гос. сектора.   Понимание особенности работы с гос. сектором на всех этапах взаимодействия.   Опыт построения качественных коммуникаций с ИТ-интеграторами.   Практический опыт подготовки документации для участия в торгах (в т.ч. знание основных площадок).   Навыки проведения презентации (в. т.ч. показательного тестирования оборудования).   ","   Официальное трудоустройство по ТК.   Конкурентоспособная ""белая"" заработная плата.   ДМС со стоматологией.   Система ежегодного премирования (бонусная система).   График работы с 9 до 18.   ",,2
540,540,IT-рекрутер,Москва,180000.0,350000.0,Anchous Drive Recruitment,2020-11-03T02:12:32+0300,От 3 до 6 лет,Полная занятость,Удаленная работа," Привет!  Ты хочешь качественно прорабатывать проекты, а не ""пытаться все успеть""? Ты хочешь доверительных и нежных отношений с клиентами, а не ""работать по бумажке""? Ты любишь думать, интересуешься новыми технологиями, экспериментируешь? Ты ищешь win-win и искренне любишь людей? Рекрутмент для тебя про добро и свет? Тебе нравится зарабатывать деньги, и тебе круто, когда деньги завязаны на твой результат, а не часы работы?  Это очень близко к моему (руководителя агентства) представлению о прекрасном! И прямо сейчас я собираю новый Core Team IT-рекрутеров, которые в дальнейшем станут руководителями команд рекрутеров.  ",,,  Заоблачные идеалы:  , Английский язык; Рекрутмент; Работа в команде; Грамотная речь; Клиентоориентированность; Деловая коммуникация; Ориентация на результат; Грамотность; Аналитические исследования; Тайм-менеджмент; Управление эффективностью;,2
541,541,Project manager,Санкт-Петербург,83953.0,103311.0,Газпром нефть,2020-11-02T08:31:21+0300,От 3 до 6 лет,Полная занятость,Полный день,"  В настоящий момент в одной из дочерних компаний ПАО ""Газпром нефть"" открыта позиция Руководителя ИТ-проектов. Данная должность предусматривает управление проектами создания, внедрения и развития информационных систем на всех стадиях жизненного цикла проекта.  ",,,"   оформление по ТК РФ,   работа в стабильной, динамично развивающейся компании,   белая заработная плата, годовой бонус, проектные премии при достижении результатов проектов,   перспектива профессионального и карьерного роста,   возможность обучения (внутренняя база знаний + внешние курсы по направлению деятельности),   ДМС с включенной стоматологией, страхование жизни,   уровень заработной платы обсуждается по итогам собеседования   ", Управление проектами; PMBOK; MS Project; MS PowerPoint; Управление рисками; MS Excel; Управление командой; Agile Project Management;,2
542,542,Project manager,Москва,102990.0,124346.0,СИКПА РУС,2020-11-02T14:06:50+0300,От 3 до 6 лет,Полная занятость,Полный день," Great opportunity to join a strong team of software engineers passionate about breeding the best ideas and using state-of-the-art computer science theories and software engineering practices to develop innovative software. The team enjoys a very strong team-spirit and continuously strives to improve its performance by obtaining, sharing and exploiting knowledge among developers. For the development of our core strategic systems, we are currently looking for a very experienced, top motivated, hands-on: ",,,,,2
543,543,Sales manager,Москва,50000.0,152682.0,ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЕ СИСТЕМЫ,2020-11-03T17:57:12+0300,Нет опыта,Полная занятость,Полный день," ООО «ИВС» один из лидеров рынка по защите информации в Российской Федерации, мы создаем и проводим аудит систем информационной безопасности, аттестуем объекты информатизации и защищаем персональные данные в коммерческих организациях и в государственных структурах с 2006 года. Наша компания является золотым и платиновым партнером ведущих разработчиков и поставщиков средств защиты информации, таких как Microsoft, Dr. Web и Kaspersky Lab В связи с расширением отделов и новыми проектами приглашаем в нашу команду менеджеров по продажам и работе с клиентами, которые готовы учиться, развиваться, работать и зарабатывать вместе с нами. ","   Работа с входящими и исходящими звонками, электронной почтой;   Поиск и привлечение новых клиентов;   Продажа ПО для защиты информации;     Подготовка коммерческих предложений;       Редкие личные встречи с клиентами;       Обработка входящих заявок от клиентов, подготовка коммерческих предложений и подписание договоров;       Выполнение плана продаж.     ","   Пунктуальность;   Знание ПК: Word, Exсel, Оutlook;   Энергичность и умение усваивать большие объемы информации;   Умение грамотно выражать свои мысли;   Способность справляться со страхом холодных звонков;   Военный билет или действующее приписное (для военнообязанных).   ","   Работа в стабильной IT компании (на карантине мы работали удаленно);   Молодой и дружный коллектив;   Трёхдневное оплачиваемое обучение и постоянная поддержка от опытного наставника;   Возможность профессионального и карьерного развития;   Официальное трудоустройство, отпуск 28 календарных дней;   Доход от  35 000 руб . (gross) оклад + мотивационная часть -  белая зарплата без верхнего потолка , которая зависит только от результатов личных продаж;   Стабильный график работы пн-пт с 09:30 до 18:10 (выходные: сб и вс, праздничные дни по ТК РФ).   Удобное расположение офиса  в   5 минутах от станции метро Тульская .   ", Холодные продажи; Планирование продаж; Активные продажи; Ведение переговоров; Работа в команде; Поиск и привлечение клиентов; Прямые продажи; B2B Продажи; Развитие продаж; Холодные звонки; Телефонные переговоры; Навыки продаж; Заключение договоров; Работа с дебиторской задолженностью; Организаторские навыки;,2
544,544,Project manager,Екатеринбург,40000.0,115000.0,Первый Бит,2020-11-02T18:20:54+0300,От 1 года до 3 лет,Полная занятость,Полный день," Привет! Мы компания  ""Первый бит"" , помогаем нашим клиентам становиться эффективнее, автоматизируя их бизнес. ",,,, CRM; Обучение и развитие; B2B Продажи; Работа в команде; Клиентоориентированность;,2
545,545,Product manager,Москва,60000.0,136666.0,NZT Group,2020-11-05T13:19:39+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"     Поиск новых клиентов и партнеров, их проработка и сопровождение       Работа с холодной и разогретой базой       Продажа IT-продуктов компании       Подготовка всей необходимой документации в рамках продажи       Тесное взаимодействие с командой разработчиков и другими отделами компании     ","     Знание английского и китайского на уровне С1       Опыт работы в продажах – от 1 года (прямые продажи в любой сфере)       Ключевые навыки и качества   * Проактивность, амбициозность   * Постоянное обучение, самообразование   * Стремление развивать навыки   * Умение презентовать себя   * Пунктуальность   * Умение работать и взаимодействовать в команде   * Грамотная устная и письменная речь   * Владение средствами подготовки и оформления презентаций, предложений, документов   * Владение средствами обмена информацией и сообщениями   * Умение решать нестандартные задачи и использовать проектный подход в решении задач   * Хорошие коммуникативные навыки     ","     Оклад + бонусная часть       График 5/2 с 9.00 до 18.00, суббота, воскресенье – выходной ( возможно гибкое начало дня)       Работа в комфортном офисе в 2-х минутах от метро Краснопресненская       Молодой, дружный коллектив       Профессиональное развитие, включая спонсорство профильных курсов на выбор       Возможность самореализации — мы всегда открыты для новых идей и не будем ограничивать ваш потенциал     ", Холодные продажи; Английский язык; Грамотная речь; Прямые продажи; Поиск и привлечение клиентов;,2
546,546,IT Аналитик,Москва,119307.0,80000.0,Мидлэнд Ритейл Груп,2020-11-02T10:45:55+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Кто мы:  ,, Наши ожидания от кандидата: ,, SQL; Agile Project Management; Atlassian Jira; Разработка проектной документации; оформление документации; iOS; Android; Разработка технических заданий; Системный анализ; Корпоративная этика; Проектная документация; Управление проектами;,2
547,547,IT-рекрутер,Екатеринбург,50000.0,60000.0,NAUMEN,2020-11-02T09:48:09+0300,От 1 года до 3 лет,Полная занятость,Полный день," NAUMEN — российская ИТ-компания. Мы создаем и внедряем решения, которые помогают компаниям приближать цифровое будущее: оптимизировать бизнес-процессы и улучшать клиентские коммуникации и сервис. Более 200 млн пользователей из России, стран Европы и Азии в повседневной жизни пользуются нашими решениями. ",,,, Подбор персонала; Оценка персонала; Boolean Search; Executive Search;,2
548,548,Project manager,Екатеринбург,45000.0,115000.0,"ХОСТ, Группа компаний",2020-11-02T10:31:26+0300,От 1 года до 3 лет,Полная занятость,Полный день, Ищем ассистента менеджера IT-проектов в команду ГК ХОСТ. Мы занимаемся разработкой 27 лет и входим в ТОП-10 лучших работодателей Урала по версии HR-mnenie. ,,,, Управление проектами; Планирование; MS Project; Работа в команде; Управление командой; Project management; Управление рисками; Управление разработкой;,2
549,549,IT Аналитик,Москва,119307.0,124600.0,АвтоСпецЦентр,2020-11-02T10:11:07+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Формализация, анализ и согласование бизнес и функциональных требований к разрабатываемым ИТ- системам;   Взаимодействие с разработчиками по согласованию/уточнению требований к разработке;   Контроль реализации требований;   Разработка инструкций и обучающих материалов. Обучение персонала.   ",  Личные качества  ,"   Место работы: Дилерский центр ""Порше Ленинский"", м. Калужская / м. Проспект Вернадского   График работы: сменный 2/2   Официальное трудоустройство в штат компании в соответствии с ТК РФ   Прозрачная система мотивации   Заработная плата в зависимости от квалификации, по результатам собеседования   Льготные тарифы на программы ДМС   Особые условия на приобретение автомобилей брендов компании и сервисное обслуживание   Скидки для сотрудников от партнеров компании: фитнес клубы, туроператоры   В Компании действует «Стратегический резерв» - программа, направленная на выявление и развитие талантов   Для всех сотрудников предусмотрено корпоративное обучение в «Академии АСЦ» - на постоянной основе проводятся тренинги по повышению квалификации   Сотрудничество с профильными Вузами – отличная возможность построить свою карьеру вместе с нами   Комфортные условия труда и работа в дружном коллективе      Ждем Вас в нашей Команде ГК «АвтоСпецЦентр»!      ", Atlassian Jira; MS SQL; SQL; Обучение и развитие; 1С программирование; 1С: Зарплата и кадры; 1С: Документооборот; CRM; Бухгалтерский учет;,2
550,550,IT manager,Санкт-Петербург,53333.0,75075.0,Первый Бит,2020-11-03T11:26:25+0300,От 1 года до 3 лет,Полная занятость,Полный день,  ВНИМАНИЕ!!!   ,,,, B2B Продажи; Активные продажи; iiko; переговоры с первыми лицами компаний; 1с; битрикс24; Региональное развитие;,2
551,551,Заместитель руководителя,Москва,80000.0,80000.0,Группа Гута,2020-11-02T11:23:11+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,"   Развертывание и администрирование виртуальных и физических серверов (Windows, CentOS)   Администрирование сетевого оборудования Cisco (C9000,)   Поиск и устранение неисправностей, внедрение новых систем/сервисов   Подбор технических решений, составление спецификаций оборудования   Мониторинг каналов связи, серверов, сервисов и служб   Проведение регламентных работ по обслуживанию парка серверного и сетевого оборудования.   Поддержка пользователей   ","   Высшее техническое образование   Опыт работы не менее 2-х лет в качестве системного администратора   Знание сетевых технологий (принципы построения LAN, стек протоколов TCP/IP)   Опыт работы с сетевым оборудованием Cisco на уровне CCNA   Знание ОС линейки Microsoft (Active Directory, групповые политики, WSUS)   Опыт развертывания и администрирования *.nix серверов   Опыт работы с системами ip-телефонии Asterisk (FreePBX)   Опыт в развертывании бесшовного Wi-Fi на базе Ubiguiti   Опыт построения отказоустойчивых сетей и серверных кластеров   Опыт работы с системами виртуализации VmWare, Hyper-V   Опыт работы с СХД DELL или HP   Опыт работы с 1С 7/8 (на уровне администрирования 1С и MSSQL) - Техническая грамотность, аналитические способности, исполнительность, ответственность, коммуникабельность, высокая обучаемость. - Знание английского языка на уровне чтения технической документации.   ","   Крупные и интересные проекты.   Перспективы карьерного роста.   Официальные оформление и трудоустройство   Заработная плата точно в срок, без задержек   ", Hyper-V; Cisco; VMware; WSUS; 1с; mssql; Asterisk; Active Directory;,2
552,552,IT manager,Москва,98333.0,109560.0,Первый Бит,2020-11-03T11:22:41+0300,От 1 года до 3 лет,Полная занятость,Полный день,  ВНИМАНИЕ!!!   ,,,, B2B Продажи; Активные продажи; iiko; переговоры с первыми лицами компаний; 1с; битрикс24; Региональное развитие;,2
553,553,Sales manager,Москва,70517.0,152682.0,ГК «ВИЗАВИ Консалт»,2020-11-03T09:08:09+0300,Более 6 лет,Полная занятость,Полный день,"  Компания -  лидер в сфере информационных технологий в РФ, присутствует на рынке 30 лет и является гарантом стабильности, уверенности в завтрашнем дне. ","   Организация процесса продаж консалтинговых услуг, разработки, поставка лицензий;   Взаимодействие и развитие отношений с вендорами;   Формирование, согласование плана продаж и контроль исполнения. Персональная ответственность за достижение плановых показателей;   Выстраивание продуктивных взаимоотношений с представителями заказчика. Активное личное участие в переговорах с ключевыми лицами заказчика;   Развитие клиентской базы. Исследование целей и задач потенциального и/или текущего клиента. Валидация покупательской способности клиента. Продвижение IT решений;   Сопровождение сделки. Снятие барьеров, мешающих заключению сделки.   ","   Опыт успешных продаж в сфере ИТ-услуг (внедрение решений класса BPM, RPA, консалтинговых проектов, заказной разработки) от 5 лет ;   Опыт взаимодействия с представителями заказчика уровня «С»;     Уровень английского языка не ниже upper-intermediate;     Широкий кругозор в области IT, понимание современных трендов;   Желательно опыт продаж решений класса BPM (Terrasoft, IBM BPM, Pega, Camunda и др), RPA (Uipath, Blueprism и др), Process mining (Celonis, Minit, ProcessGold).   ","   Стабильная заработная плата + система мотивации;   Работа в крупной Компании в команде профессионалов;   Социальный пакет;   На территории офиса расположены кухни, столовая, кафе и кофейный киоск;   Компания проводит обучение и сертификацию сотрудников;   Перспективы профессионального и карьерного роста;   Территориально м. Рижская/м. Алексеевская/м. Марьина роща (корпоративный транспорт).   ", Управление продажами; Активные продажи; Управление проектами; Terrasoft CRM; Ведение переговоров; Английский язык;,2
554,554,IT Директор,Москва,150000.0,,Восток - Запад,2020-11-01T19:12:19+0300,Более 6 лет,Полная занятость,Полный день, ,"   Разработка и реализация комплексной IT- стратегии компании;   Выполнение функций системного архитектора информационной системы;   Ведение IT проектов;   Разработка и внедрение корпоративных стандартов в области информационных технологий;   Организация работы IT департамента:    обеспечение работоспособности и бесперебойного функционирования всех IT-сервисов компании в режиме 24/7;   организация качественной и оперативной технической поддержки пользователей в режиме 24/7;   обеспечение разработки программного обеспечения;   поддержание должного уровня информационной безопасности и организация эффективного комплекса мероприятий по защите информации;   управление персоналом IT-департамента, определение путей повышения квалификации и производительности работы сотрудников;   формирование и контроль исполнения IT бюджета;   закупка программного обеспечения и компьютерного оборудования, работа с партнерами и поставщиками;   учет ПО и материальных IT активов       ","   Высшее техническое образование.   Опыт работы в должности ""IT-директор"" от 5 лет в крупных российских или зарубежных компаниях. Как преимущество - сфера FMCG.   Обязательный опыт внедрения и работы с системами SAP, CRM-системами, e-сommerce, с облачными решениями.   Практическое знание и опыт применения ИТ-систем на рынках FMCG, розница, дистрибуция.   Знание и практический опыт применения методологий ITIL, PMBoK, Agile, Scrum.   Умение работать с ИТ- контрактами, отличное понимание специфики договорной и тендерной работы.   Опыт организации работы и поддержки ИТ сервисов, работающих в режиме 24/7 в компаниях федерального или мирового масштаба.   Системное мышление, широкий профессиональный кругозор, умение прогнозировать тенденции рынка, сильные управленческие навыки, чувство юмора и умение эффективно взаимодействовать в команде совета директоров.   ","   Оформление по ТК РФ, ДМС, дотация на питание в корпоративной столовой;   Конкурентоспособная белая заработная плата, уровень которой обсуждается с успешным кандидатом;   График 5/2, сб. и воскр. - выходные;   Место работы: головной офис на территории распределительного центра на Ленинградском шоссе (между г. Химки и г. Зеленоград).   ", Управление проектами; Технические средства информационной защиты; Системная интеграция; Управление затратами; Информационные технологии;,2
555,555,Sales manager,Москва,50000.0,152682.0,ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЕ СИСТЕМЫ,2020-11-02T09:42:25+0300,Нет опыта,Полная занятость,Полный день, ,   Телефонные переговоры;   Продажа ПО для защиты информации;   Работа уже с существующей клиентской базой;   Поиск и привлечение новых клиентов;     Ведение деловых переговоров и выстраивание долгосрочных партнерских отношений с клиентами компании;       Подготовка коммерческих предложений;       Согласование договоров;       Выполнение плана продаж.     ,"    Знание ПК : Word, Exсel, Оutlook;   Способность справляться со страхом холодных звонков;   Грамотная русская речь, умение выражать свои мысли;   Умение ставить цели и добиваться результатов;   Военный билет или действующее приписное (для военнообязанных);   ",, Холодные продажи; Планирование продаж; Активные продажи; Ведение переговоров; Работа в команде; Поиск и привлечение клиентов; Прямые продажи; B2B Продажи; Развитие продаж; Холодные звонки; Телефонные переговоры; Навыки продаж; Заключение договоров; Работа с дебиторской задолженностью; Организаторские навыки;,2
556,556,Project manager,Москва,102990.0,124346.0,ГРУППА КИТ,2020-11-04T14:36:42+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Компания ""КИТ Консалтинг"" -  IT консалтинговая компания, оказывающая услуги по автоматизации деятельности различных предприятий. ","     Формирование бизнес-процессов с ""нуля"" продажи разных типов услуг;       Создание регламентов, обучающих материалов, демо-стендов;       Найм и обучение персонала;       Разработка системы KPI;       Контроль работы аккаунт-менеджеров (ответственные за допродажу существующим клиентам);       Участие в формировании ценности/продукта для клиентов;       Непосредственное участие в процессе продаж (на собственном примере показывать, что методики работают);       Переговоры с крупными клиентами;       Ведение отчетности, активное использование внутренней CRM системы.     ","     Опыт построения отдела продаж с ""нуля""  будет большим преимуществом ;       Наличие успешного опыта в B2B продажах ИТ-продуктов  обязательно ;       Опыт работы с в web-студии, web-интеграторе, системном интеграторе  будет большим преимуществом ;       Опыт продаж 1С/Битрикс24/retailCRM/сайтов/корпоративных порталов/мобильных приложений/консалтинга/аудита бизнес-процессов  будет большим преимуществом.      ",     Белая заработная плата (конкурентоспособный оклад + % (схема мотивации с успешным кандидатом согласовывается отдельно);       Оформление по ТК;       Испытательный срок 3 месяца       м. Шаболовская(10 мин от метро);       5 дневная рабочая неделя. 09.00-18.00/10.00-19.00.     , B2B Продажи; CRM; Холодные продажи; ERP; Web Application Development;,2
557,557,IT Архитектор,Москва,,190000.0,Электронная торговая площадка Газпромбанка,2020-11-02T10:12:19+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы ищем способного и инициативного IT-архитектора для решения сложных и интересных задач. От кандидата ожидается коммуникабельность, системное мышление, ответственность и стремление развиваться. ",,,, UML; Управление проектами; BPMN; Linux; PHP; Архитектура; Zend Framework;,2
558,558,IT Архитектор,Москва,,190000.0,IKEA,2020-11-02T08:49:42+0300,От 1 года до 3 лет,Полная занятость,Полный день,  WHAT YOU'LL BE DOING DAY TO DAY  ,,,, Data Analysis; Project management; Big Data;,2
559,559,IT Экономист,Москва,1000.0,3000.0,Спортмастер,2020-11-02T12:40:43+0300,Нет опыта,Проектная работа,Полный день,  Ваши задачи:  ,,,, Scrum; Agile Project Management; Atlassian Jira;,2
560,560,IT Аналитик,Екатеринбург,65000.0,60000.0,Artsofte,2020-11-02T12:13:55+0300,От 1 года до 3 лет,Полная занятость,Полный день," Нашей компании более 18 лет. Мы делаем веб-проекты для банков, авиакомпании, операторов связи и ip-телефонии. Наши работы признаются лучшими в стране. ","     Описание пользовательских сценариев, сценариев использования языком, понятным и разработчику и клиенту;       Выявление бизнес-потребностей клиента и потребностей пользователей продукта;       Ведение пользовательской документации продукта;       Контроль полноты и соответствия требованиям в ходе реализации проекта;       Создание интерфейсов на основе проведенной аналитики и заданной библиотеки дизайна продукта (Figma);       Презентация и согласование результатов аналитики и собранных интерфейсов с хозяином продукта.     ","     Понимание технического процесса создания и разработки продукта (отличие от проектной разработки);       Понимание принципов построения интерфейсов на основе пользовательских сценариев;       Проведение исследований и интервью в формате customer development (as is / to be);       Умение работать в графических редакторах (Figma - работаем в ней или навыки работы Axure / Adobe XD / Sketch);       Умение аргументировать свою точку зрения и задавать правильные вопросы;       Умение разбивать сложные процессы на последовательность маленьких;       Умение работать в условиях высокой неопределенности;       Опыт работы с REST API (JSON, XML);       Грамотная письменная и устная речь.     ","     Получать высокий оклад (итоговую ставку определяем по результатам собеседования, в среднем — выше рынка);       Интересные проекты, возможность обучения и самореализации;       Просторный офис в формате open space в центре города (Малышева/Луначарского) или удаленный офис;       Пятидневная рабочая неделя;       Трудоустройство согласно ТК РФ и белая зарплата;       Начало работы не позднее 11:00, график 5/2, 8 часов + 1 час на обед;       Безлимитные кофе, чай, зона для игры в настольный теннис;       Охраняемые авто- и вело- парковки;       Веселые и дружные корпоративные праздники.     ", Adobe Photoshop; Проведение презентаций; Грамотная речь; MS Project; Навыки презентации; BPMN; Figma;,2
561,561,Ассистент,Москва,46000.0,56250.0,Фольксваген Груп Рус,2020-11-02T14:23:50+0300,От 3 до 6 лет,Полная занятость,Полный день, Responsibilities: ,,,, Административная поддержка руководителя; MS PowerPoint; Английский язык; Time management; Customer Service;,2
562,562,другие,Санкт-Петербург,65000.0,45000.0,AVRIO Group Consulting,2020-11-02T08:55:03+0300,От 1 года до 3 лет,Полная занятость,Полный день," Наш Клиент, международная IT компания, один из лидеров в своей отрасли, открывает вакансию  ""2D Artist""  ",   Создание концептов игры и отдельных элементы в разных стилях   Разработка дизайна игрового интерфейса   Создание анимации символов и логотипов (Adobe After Effects)   Отрисовка графических объектов   Работа в команде   ,"   Высшее художественное образование   Уверенный технический английский язык   Релевантный опыт    Наличие портфолио с работами (персонажи, интерфейсы, символы и логотипы, разработанные для игрового концепта)   Опыт создания дизайна игровых интерфейсов   Уверенное владение Adobe Photoshop   Желательно владение After Affects/ Spine   Умение рисовать в разных стилях и подстраиваться под имеющийся стиль игры   Ответственность, внимательность, дисциплинированность, обучаемость   ","   Привлекательный уровень заработной платы   Расширенный компенсационный пакет, включая ДМС, бесплатное питание, частичную компенсацию фитнеса, курсы английского в офисе   Комфортабельное рабочее место, современный офис   Возможности для профессионального развития в известной международной компании   ",,2
563,563,Sales manager,Санкт-Петербург,61042.0,132812.0,RuNetSoft,2020-11-02T10:52:30+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Компания RuNetSoft – IT компания, успешно существующая на рынке Санкт-Петербурга 12 лет – в связи с расширением приглашает на работу МЕНЕДЖЕРА ПО ПРОДАЖАМ (IT – сфера)  ","   Вам предстоит работать с входящими заявками, выстраивать отношения с партнерами и взаимодействовать с клиентами компании. Мы стараемся найти максимально удобный вариант для клиента и выйти с ним на долгосрочное сотрудничество;   Подготовка коммерческих предложений и проведение переговоров с потенциальными клиентами (условия и сроки оказания услуг, их стоимость, условия заключения договоров);   Подготовка и проведение презентаций;   Ведение клиента на всех этапах продажи и заключения договоров, отправление счетов и ведение сопутствующей документации;   Ведение переговоров с разными масштабами бизнеса по всей России.   ",,"  Мы ждем Вас, если:  ", B2B Продажи; Активные продажи; SEO; Проведение презентаций;,2
